"","RESPONDENT_YRSED","PARTNER_YRSED","PPINCIMP","PPWORK","QFLAG","PAPGLB_STATUS","PPMARIT","PPGENDER","Q4","Q5","Q23","PPETHM","Q6B","RESPONDENT_RACE","PARTNER_RACE","RELATIONSHIP_QUALITY","diff_in_education","diff_in_race","diff_in_income"
"38",20,20,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,0
"39",14,13,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"41",12,10,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",2,1,1
"42",13,16,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"44",13,13,"(03) $7,500 to $9,999","(6) not working - disabled","(1) partnered","(3) i would prefer to not answer this question","(4) separated","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"46",17,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"47",14,12,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",2,0,1
"50",13,13,"(08) $25,000 to $29,999","(2) working - self-employed","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"51",12,17,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(1) very poor",-5,0,1
"53",9,13,"(13) $60,000 to $74,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-4,0,1
"56",16,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,0
"57",13,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-3,0,1
"59",17,17,"(16) $100,000 to $124,999","(5) not working - retired","(1) partnered","(3) i would prefer to not answer this question","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"60",16,16,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"61",16,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"62",10,13,"(05) $12,500 to $14,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-3,0,1
"63",16,20,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(2) female","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-4,0,1
"65",16,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"66",13,14,"(06) $15,000 to $19,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"68",16,13,"(13) $60,000 to $74,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,0
"71",16,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(4) good",2,1,1
"72",12,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-4,0,1
"74",13,13,"(13) $60,000 to $74,999","(7) not working - other","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"76",16,20,"(16) $100,000 to $124,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(3) other, non-hispanic","(1) white","(3) NH Amer Indian","(1) NH white","(5) excellent",-4,1,1
"77",17,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"80",16,13,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(2) female","(1) male","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"81",16,16,"(06) $15,000 to $19,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"83",16,13,"(10) $35,000 to $39,999","(7) not working - other","(1) partnered","(2) no","(6) living with partner","(2) female","(3) other, please specify",NA,"(2) we earned about the same amount","(3) other, non-hispanic",NA,"(4) NH Asian Pac Islander",NA,"(4) good",3,NA,0
"85",16,20,"(16) $100,000 to $124,999","(7) not working - other","(1) partnered","(3) i would prefer to not answer this question","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-4,0,1
"86",20,20,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"88",17,17,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(3) american indian, aleut, or eskimo","(1) NH white","(6) Hispanic","(4) good",0,1,1
"89",13,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"90",13,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-3,0,1
"91",16,17,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"92",13,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(1) yes","(3) divorced","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"93",13,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"94",16,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(3) i would prefer to not answer this question","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"95",12,12,"(05) $12,500 to $14,999","(7) not working - other","(1) partnered","(3) i would prefer to not answer this question","(1) married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"96",14,16,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,1
"97",12,17,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",-5,1,1
"98",16,20,"(12) $50,000 to $59,999","(4) not working - looking for work","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-4,0,1
"99",12,12,"(10) $35,000 to $39,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"101",16,12,"(09) $30,000 to $34,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",4,0,0
"102",14,16,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(3) other, non-hispanic","(1) white","(5) NH Other","(1) NH white","(5) excellent",-2,1,1
"104",12,16,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",-4,0,1
"106",16,16,"(18) $150,000 to $174,999","(1) working - as a paid employee","(1) partnered","(2) no","(6) living with partner","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"107",12,12,"(12) $50,000 to $59,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"109",16,12,"(13) $60,000 to $74,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4,0,1
"110",13,13,"(12) $50,000 to $59,999","(6) not working - disabled","(1) partnered","(3) i would prefer to not answer this question","(5) never married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"111",14,14,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"112",13,20,"(12) $50,000 to $59,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-7,0,1
"113",17,17,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(1) i earned more","(5) 2+ races, non-hispanic","(4) asian or pacific islander","(3) NH Amer Indian","(4) NH Asian Pac Islander","(4) good",0,1,1
"114",13,13,"(10) $35,000 to $39,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(2) female","(2) no, we are an opposite-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,0
"116",12,13,"(15) $85,000 to $99,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"118",13,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,NA,"(2) black, non-hispanic","(3) american indian, aleut, or eskimo","(2) NH black","(3) NH Amer Indian","(5) excellent",1,1,NA
"119",20,12,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",8,0,0
"120",20,20,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(3) other, non-hispanic","(1) white","(5) NH Other","(1) NH white","(5) excellent",0,1,1
"121",13,13,"(14) $75,000 to $84,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"123",12,13,"(15) $85,000 to $99,999","(4) not working - looking for work","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",-1,0,1
"124",17,16,"(16) $100,000 to $124,999","(2) working - self-employed","(1) partnered","(3) i would prefer to not answer this question","(5) never married","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",1,0,1
"126",17,16,"(19) $175,000 or more","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(3) other, non-hispanic","(1) white","(4) NH Asian Pac Islander","(1) NH white","(5) excellent",1,1,0
"127",16,13,"(17) $125,000 to $149,999","(2) working - self-employed","(1) partnered","(2) no","(6) living with partner","(2) female","(1) male",NA,"(1) i earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",3,0,1
"128",13,10,"(03) $7,500 to $9,999","(5) not working - retired","(1) partnered","(2) no","(2) widowed","(2) female","(1) male",NA,"(2) we earned about the same amount","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(3) fair",3,0,0
"130",12,17,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-5,0,1
"131",13,16,"(07) $20,000 to $24,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"132",14,16,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(3) i would prefer to not answer this question","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(5) 2+ races, non-hispanic","(1) white","(4) NH Asian Pac Islander","(1) NH white","(5) excellent",-2,1,1
"135",13,14,"(13) $60,000 to $74,999","(6) not working - disabled","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"136",14,16,"(16) $100,000 to $124,999","(7) not working - other","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-2,0,1
"138",12,13,"(08) $25,000 to $29,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(2) female","(2) no, we are an opposite-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,0
"139",16,17,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"140",12,13,"(07) $20,000 to $24,999","(4) not working - looking for work","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(2) we earned about the same amount","(3) other, non-hispanic","(4) asian or pacific islander","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","(5) excellent",-1,0,0
"143",16,16,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(5) excellent",0,1,1
"144",13,16,"(02) $5,000 to $7,499","(2) working - self-employed","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"145",13,14,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
"146",14,16,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(2) we earned about the same amount","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-2,0,0
"147",16,14,"(16) $100,000 to $124,999","(2) working - self-employed","(1) partnered","(2) no","(1) married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,1
"149",12,12,"(08) $25,000 to $29,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"150",16,12,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(2) no","(3) divorced","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(5) excellent",4,0,1
"152",13,20,"(16) $100,000 to $124,999","(2) working - self-employed","(1) partnered","(1) yes","(5) never married","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-7,0,1
"153",16,12,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",4,0,1
"155",12,13,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"156",16,17,"(08) $25,000 to $29,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(2) black, non-hispanic","(5) other (please specify)","(2) NH black","(5) NH Other","(5) excellent",-1,1,1
"157",12,10,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(2) no","(3) divorced","(1) male","(2) female",NA,"(2) we earned about the same amount","(5) 2+ races, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",2,0,0
"159",16,17,"(05) $12,500 to $14,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
